listing_id,listing_title,listed_price,condition,seller,listing_date,marketplace
LST-0001,Lenovo ThinkPad T14 Gen 3 i5 16GB,52000,Used - Good,Seller_101,2026-09-04,EchoChain Mock Marketplace
LST-0002,Dell Latitude 5420 Business Laptop,45500,Used - Excellent,Seller_102,2026-09-04,EchoChain Mock Marketplace
LST-0003,HP EliteBook 840 G8 Laptop,48000,Used - Good,Seller_103,2026-09-04,EchoChain Mock Marketplace
LST-0004,Apple MacBook Air M1 8GB,58000,Used - Excellent,Seller_104,2026-09-04,EchoChain Mock Marketplace
LST-0005,ASUS VivoBook 15 i5 Laptop,38500,Used - Good,Seller_105,2026-09-04,EchoChain Mock Marketplace
LST-0006,Lenovo IdeaPad Slim 5 Ryzen,42000,Used - Fair,Seller_106,2026-09-04,EchoChain Mock Marketplace
LST-0007,Dell Inspiron 15 5510 i5,36000,Used - Good,Seller_107,2026-09-04,EchoChain Mock Marketplace
LST-0008,HP Pavilion 14 i5 16GB,34500,Used - Good,Seller_108,2026-09-04,EchoChain Mock Marketplace
LST-0009,Apple MacBook Pro M1 13 inch,72000,Used - Excellent,Seller_109,2026-09-04,EchoChain Mock Marketplace
LST-0010,ASUS ROG Strix G15 Gaming Laptop,68000,Used - Good,Seller_110,2026-09-04,EchoChain Mock Marketplace
